	domain	phylum	class	order	family	genus	species
ASV_164	Eukaryota	Rotifera	Monogononta	Ploimida	NA	NA	NA
ASV_165	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Suessiaceae	NA	NA
ASV_166	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group II	NA	NA
ASV_167	Eukaryota	Cercozoa	Novel Clade 2	NA	NA	NA	NA
ASV_168	Eukaryota	Protalveolata	Syndiniales	NA	NA	NA	NA
ASV_169	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_170	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodinium clade	Polykrikos	NA
ASV_171	NA	NA	NA	NA	NA	NA	NA
ASV_172	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	NA	NA
ASV_173	NA	NA	NA	NA	NA	NA	NA
ASV_174	Eukaryota	NA	Ichthyosporea	Abeoformidae	NA	Marine Ichthyosporeans 1	NA
ASV_175	Eukaryota	Annelida	Polychaeta	Spionida	NA	NA	NA
ASV_176	Eukaryota	MAST-12	MAST-12A	NA	NA	NA	NA
ASV_177	NA	NA	NA	NA	NA	NA	NA
ASV_178	Eukaryota	NA	Mamiellophyceae	Mamiellales	NA	Ostreococcus	NA
ASV_179	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group II	NA	NA
ASV_180	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	IN2411	NA	NA
ASV_181	Eukaryota	Cercozoa	Imbricatea	NA	Euglyphida	Paulinella	NA
ASV_182	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	NA	Alexandrium	NA
ASV_183	NA	NA	NA	NA	NA	NA	NA
ASV_184	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_185	Eukaryota	Kathablepharidae	NA	NA	NA	Leucocryptos	NA
ASV_186	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group I	NA	NA
ASV_187	Eukaryota	Ctenophora	NA	NA	NA	NA	NA
ASV_188	NA	NA	NA	NA	NA	NA	NA
ASV_189	Eukaryota	Arthropoda	Maxillopoda	Harpacticoida	NA	NA	NA
ASV_190	Eukaryota	NA	Chrysophyceae	NA	NA	NA	NA
ASV_191	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_192	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodinium clade	Gymnodinium	NA
ASV_193	NA	NA	NA	NA	NA	NA	NA
ASV_194	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	NA	Gonyaulax	NA
ASV_195	Eukaryota	Arthropoda	Maxillopoda	Calanoida	NA	NA	NA
ASV_196	NA	NA	NA	NA	NA	NA	NA
ASV_197	Eukaryota	MAST-4	NA	NA	NA	NA	NA
ASV_198	Eukaryota	Kathablepharidae	NA	NA	NA	Katablepharis	NA
ASV_199	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	NA	NA	NA
ASV_200	Eukaryota	Dinoflagellata	Incertae Sedis_4	NA	NA	Haplozoon	NA
ASV_201	Eukaryota	Protosporangiida	Protosporangiidae	NA	NA	Protosporangium	NA
ASV_202	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_203	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	NA	NA	NA
ASV_204	Eukaryota	Cercozoa	NA	NA	NA	NA	NA
ASV_205	NA	NA	NA	NA	NA	NA	NA
ASV_206	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	IN2411	NA	NA
ASV_207	Eukaryota	NA	NA	Cryptomonadales	NA	NA	NA
ASV_208	Eukaryota	Diatomea	Mediophyceae	NA	NA	NA	NA
ASV_209	NA	NA	NA	NA	NA	NA	NA
ASV_210	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_211	Eukaryota	NA	Chlorodendrophyceae	Chlorodendrales	NA	Tetraselmis	NA
ASV_212	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	NA	Islandinium	NA
ASV_213	NA	NA	NA	NA	NA	NA	NA
ASV_214	NA	NA	NA	NA	NA	NA	NA
ASV_215	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_216	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodinium clade	Paragymnodinium	NA
ASV_217	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	Strombidium	NA
ASV_218	Eukaryota	Dinoflagellata	Incertae Sedis_4	NA	NA	Haplozoon	NA
ASV_219	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	NA	NA
ASV_220	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	NA	NA
ASV_221	NA	NA	NA	NA	NA	NA	NA
ASV_222	NA	NA	NA	NA	NA	NA	NA
ASV_223	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	NA	NA	NA
ASV_224	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	NA	Gonyaulax	NA
ASV_225	NA	NA	NA	NA	NA	NA	NA
ASV_226	Eukaryota	MAST-2	NA	NA	NA	NA	NA
ASV_227	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	NA	NA
ASV_228	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_229	NA	NA	NA	NA	NA	NA	NA
ASV_230	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_231	Eukaryota	NA	NA	Cryptomonadales	NA	Hemiselmis	NA
ASV_232	Eukaryota	Diatomea	Mediophyceae	NA	NA	NA	NA
ASV_233	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodinium clade	Paragymnodinium	NA
ASV_234	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	NA	NA	NA
ASV_235	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Plagiopylea	Plagiopyla	NA
ASV_236	Eukaryota	Rotifera	Monogononta	Ploimida	NA	NA	NA
ASV_237	Eukaryota	Diatomea	Mediophyceae	NA	NA	Thalassiosira	NA
ASV_238	Eukaryota	Annelida	Polychaeta	Capitellida	NA	NA	NA
