	domain	phylum	class	order	family	genus	species
ASV_19	Eukaryota	NA	NA	Cryptomonadales	NA	NA	NA
ASV_20	Eukaryota	Porphyridiophyceae	NA	NA	NA	Porphyridium	NA
ASV_21	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodinium clade	Paragymnodinium	NA
ASV_22	Eukaryota	Picozoa	Picomonadida	Picomonadidae	NA	Picomonas	NA
ASV_23	Eukaryota	NA	Chrysophyceae	NA	NA	NA	NA
ASV_24	Eukaryota	NA	Mamiellophyceae	Mamiellales	NA	Ostreococcus	NA
ASV_25	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group I	NA	NA
ASV_26	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	NA	NA	NA
ASV_27	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_28	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_29	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Incertae Sedis_2	Cochlodinium	NA
ASV_30	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_31	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_32	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Oligohymenophorea	Cyclidium	NA
ASV_33	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodinium clade	Paragymnodinium	NA
ASV_34	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_35	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Suessiaceae	NA	NA
ASV_36	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_37	Eukaryota	Kathablepharidae	NA	NA	NA	Leucocryptos	NA
ASV_38	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	Gyrodinium	NA
ASV_39	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_40	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group I	NA	NA
ASV_41	Eukaryota	Diatomea	Mediophyceae	NA	NA	Cyclotella	NA
ASV_42	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Incertae Sedis_2	Akashiwo	NA
ASV_43	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_44	Eukaryota	Diatomea	Mediophyceae	NA	NA	NA	NA
ASV_45	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	Gyrodinium	NA
ASV_46	Eukaryota	NA	NA	Cryptomonadales	NA	Hemiselmis	NA
ASV_47	Eukaryota	NA	NA	Cryptomonadales	NA	NA	NA
ASV_48	Eukaryota	Diatomea	Mediophyceae	NA	NA	Cyclotella	NA
ASV_49	Eukaryota	NA	NA	Cryptomonadales	NA	Teleaulax	NA
ASV_50	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_51	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodinium clade	NA	NA
ASV_52	Eukaryota	Protalveolata	Syndiniales	NA	NA	Duboscquella	NA
ASV_53	Eukaryota	Protalveolata	Syndiniales	NA	NA	NA	NA
ASV_54	Eukaryota	NA	Mamiellophyceae	Mamiellales	NA	Ostreococcus	NA
ASV_55	Eukaryota	NA	NA	Cryptomonadales	NA	NA	NA
ASV_56	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	Oligohymenophorea	Cyclidium	NA
ASV_57	Eukaryota	Ciliophora	Intramacronucleata	Conthreep	IN2411	NA	NA
ASV_58	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	Gyrodinium	NA
ASV_59	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_60	Eukaryota	Dinoflagellata	Dinophyceae	NA	NA	NA	NA
ASV_61	Eukaryota	Cercozoa	Novel Clade 2	NA	NA	NA	NA
ASV_62	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	NA	NA	NA
ASV_63	NA	NA	NA	NA	NA	NA	NA
ASV_64	NA	NA	NA	NA	NA	NA	NA
ASV_65	NA	NA	NA	NA	NA	NA	NA
ASV_66	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Suessiaceae	Pelagodinium	NA
ASV_67	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group II	NA	NA
ASV_68	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_69	NA	NA	NA	NA	NA	NA	NA
ASV_70	Eukaryota	Protalveolata	NA	NA	NA	Oxyrrhis	NA
ASV_71	Eukaryota	Dinoflagellata	Dinophyceae	Dinophysiales	NA	Sinophysis	NA
ASV_72	Eukaryota	NA	NA	NA	NA	Palpitomonas	NA
ASV_73	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	NA	NA
ASV_74	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group I	NA	NA
ASV_75	Eukaryota	Diatomea	Mediophyceae	NA	NA	Thalassiosira	NA
ASV_76	Eukaryota	Dinoflagellata	Dinophyceae	NA	Thoracosphaeraceae	NA	NA
ASV_77	Eukaryota	MAST-12	MAST-12D	NA	NA	NA	NA
ASV_78	Eukaryota	NA	Trebouxiophyceae	NA	NA	NA	NA
ASV_79	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_80	NA	NA	NA	NA	NA	NA	NA
ASV_81	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	NA	NA
ASV_82	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_83	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodinium clade	NA	NA
ASV_84	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_85	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Choreotrichia	Rimostrombidium	NA
